Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank
Torbjorn,O,2.06,48.31,2.73,8.64,P5,Bronze
"Soldier: 76",O,1.95,43.79,2.31,10.42,P5,Bronze
Pharah,O,1.72,47.68,1.31,13.35,P5,Bronze
Hanzo,O,1.7,42.76,3.97,10.11,P5,Bronze
Winston,T,1.28,34.86,4.39,3.04,P5,Bronze
Tracer,O,1.28,39.29,1.75,9.65,P5,Bronze
Ashe,O,1.25,45.05,0,7.83,P5,Bronze
McCree,O,1.24,45.45,0,20,P5,Bronze
"Wrecking Ball",T,1.23,25.93,0.92,1.72,P5,Bronze
Doomfist,O,0.92,25.93,1.22,7.87,P5,Bronze
Moira,S,10.02,45.48,3.25,6.95,P5,Silver
D.Va,T,8.74,48.22,2.47,7.62,P5,Silver
Reinhardt,T,8.61,46.91,2.11,6.49,P5,Silver
Mercy,S,7.98,45.99,2.27,1.25,P5,Silver
Lucio,S,7.56,48.76,2.08,10.29,P5,Silver
Orisa,T,4.53,50.02,2.44,7.64,P5,Silver
Junkrat,O,4.44,47.36,1.87,11.82,P5,Silver
Zenyatta,S,3.83,49.58,2.25,8.23,P5,Silver
Reaper,O,3.6,47.64,2.35,16.69,P5,Silver
Ana,S,3.57,43.55,2.62,7.12,P5,Silver
Zarya,T,3.48,45.81,2.33,6.89,P5,Silver
Brigitte,S,2.58,50.65,2.55,10.4,P5,Silver
Symmetra,S,2.58,55.63,3.49,9.94,P5,Silver
"Soldier: 76",O,2.31,46.22,1.27,11.17,P5,Silver
Bastion,O,2.17,48.85,2.78,15.03,P5,Silver
"Wrecking Ball",T,2.12,47.14,1.95,2.27,P5,Silver
Hanzo,O,2.12,44.98,1.71,11.53,P5,Silver
Roadhog,T,2.11,45.83,1.56,7.58,P5,Silver
Ashe,O,2.05,48.48,2.53,6.49,P5,Silver
Widowmaker,O,1.83,40.51,1.13,6.99,P5,Silver
Torbjorn,O,1.75,51.28,3.07,9.41,P5,Silver
Genji,O,1.74,44.23,1.59,7.16,P5,Silver
Mei,O,1.63,47.08,2.12,9.22,P5,Silver
McCree,O,1.63,44.03,2.12,10.07,P5,Silver
Sombra,O,1.53,37,1.69,10.77,P5,Silver
Pharah,O,1.44,45.72,1.8,7.49,P5,Silver
Tracer,O,1.34,42.88,1.16,7.7,P5,Silver
Winston,T,1.24,46.16,3.63,3.93,P5,Silver
Doomfist,O,0.61,42.17,0.85,7.29,P5,Silver
Moira,S,10.89,48.16,2.46,8.43,P5,Gold
Moira,S,9.52,49.1,2.66,9.17,P5,Gold
Lucio,S,7.71,50.85,2.25,11.52,P5,Gold
D.Va,T,7.49,50.7,2.25,8.22,P5,Gold
Mercy,S,7.36,47.77,2.76,1.4,P5,Gold
Zarya,T,4.86,47.57,2.71,8.57,P5,Gold
Reaper,O,4.3,48.14,2.07,16.78,P5,Gold
Ana,S,4.3,44.24,2.51,8.39,P5,Gold
Junkrat,O,3.94,48.74,2.82,11.47,P5,Gold
Zenyatta,S,3.93,50.53,2.4,8.54,P5,Gold
Orisa,T,3.73,52.55,2.58,8.89,P5,Gold
Brigitte,S,2.65,54.39,1.96,12.81,P5,Gold
Hanzo,O,2.45,45.91,2.37,12.15,P5,Gold
Genji,O,2.32,46.25,1.92,8.36,P5,Gold
McCree,O,2.31,45.89,1.51,9.87,P5,Gold
Roadhog,T,2.31,46.25,1.59,8.33,P5,Gold
Symmetra,S,2.04,56.8,3.18,10.16,P5,Gold
"Wrecking Ball",T,2,47.63,2.12,2.61,P5,Gold
"Soldier: 76",O,1.94,48.04,1.74,10.63,P5,Gold
Ashe,O,1.9,46.38,1.98,8.15,P5,Gold
Widowmaker,O,1.8,44.06,1.85,7.52,P5,Gold
Sombra,O,1.73,42.94,2.79,13.08,P5,Gold
Pharah,O,1.62,45.59,1.72,10.83,P5,Gold
Mei,O,1.51,49.07,2.17,10.5,P5,Gold
