Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
Doomfist,OFFENSE,0.84,53.91,0.8,7.85,XBL,Master,43:28.9
Bastion,DEFENSE,0.56,55.1,1.21,13.82,XBL,Master,43:28.9
Reinhardt,TANK,10.99,57.04,1.94,8.57,XBL,Grandmaster,43:28.9
Lucio,SUPPORT,9.33,57.7,1.52,14.08,XBL,Grandmaster,43:28.9
Mercy,SUPPORT,9.21,57.32,1.46,2.07,XBL,Grandmaster,43:28.9
Zarya,TANK,8.98,53.61,1.32,17.47,XBL,Grandmaster,43:28.9
McCree,OFFENSE,4.96,50.65,1.12,14.85,XBL,Grandmaster,43:28.9
Roadhog,TANK,4.8,58.74,0.99,14.18,XBL,Grandmaster,43:28.9
Hanzo,DEFENSE,4.44,51.72,1.96,17.62,XBL,Grandmaster,43:28.9
D.Va,TANK,4.05,53.61,2.73,8.21,XBL,Grandmaster,43:28.9
Ana,SUPPORT,3.92,55.53,1.61,12.3,XBL,Grandmaster,43:28.9
Widowmaker,DEFENSE,3.91,57.79,1.41,11.94,XBL,Grandmaster,43:28.9
Ashe,OFFENSE,3.45,58.08,2.06,14.21,XBL,Grandmaster,43:28.9
Sombra,OFFENSE,3.34,56.12,1.18,21.39,XBL,Grandmaster,43:28.9
Zenyatta,SUPPORT,2.91,57.73,1.63,8.6,XBL,Grandmaster,43:28.9
Genji,OFFENSE,2.89,51.52,1.37,12.87,XBL,Grandmaster,43:28.9
Tracer,OFFENSE,2.81,52.69,0.84,11.72,XBL,Grandmaster,43:28.9
Wrecking Ball,TANK,2.75,57.89,1.72,4.9,XBL,Grandmaster,43:28.9
Orisa,TANK,2.36,66.21,1.68,11.81,XBL,Grandmaster,43:28.9
Soldier: 76,OFFENSE,2.19,60.87,0.36,15.66,XBL,Grandmaster,43:28.9
Winston,TANK,1.77,53.88,2.23,5,XBL,Grandmaster,43:28.9
Symmetra,SUPPORT,1.6,61.93,2.48,9.42,XBL,Grandmaster,43:28.9
Pharah,OFFENSE,1.49,56.68,0.53,15.86,XBL,Grandmaster,43:28.9
Torbjorn,DEFENSE,1.47,57.84,0.54,8.59,XBL,Grandmaster,43:28.9
Brigitte,SUPPORT,1.26,56.96,1.25,14.25,XBL,Grandmaster,43:28.9
Bastion,DEFENSE,1.13,66.91,2.8,16.94,XBL,Grandmaster,43:28.9
Reaper,OFFENSE,1.08,51.49,2.19,17.09,XBL,Grandmaster,43:28.9
Mei,DEFENSE,0.97,52.03,0,9.8,XBL,Grandmaster,43:28.9
Doomfist,OFFENSE,0.83,50.48,0,8.97,XBL,Grandmaster,43:28.9
Moira,SUPPORT,0.68,47.06,1.16,11.9,XBL,Grandmaster,43:28.9
Junkrat,DEFENSE,0.43,49.09,0,9.98,XBL,Grandmaster,43:28.9
