Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
Bastion,DEFENSE,0.55,48.53,2.88,15.33,PC,Gold,42:19.9
Reinhardt,TANK,11.76,51.71,2.45,7.78,PC,Platinum,42:19.9
Ana,SUPPORT,11.17,50.18,2.2,10.72,PC,Platinum,42:19.9
Zarya,TANK,7.5,50.8,2.29,10.02,PC,Platinum,42:19.9
Moira,SUPPORT,6,52.01,2.3,9.8,PC,Platinum,42:19.9
Lucio,SUPPORT,5.64,51.14,2.1,11.01,PC,Platinum,42:19.9
Zenyatta,SUPPORT,5.53,52.79,2.24,7.12,PC,Platinum,42:19.9
Genji,OFFENSE,4.81,50.4,1.89,11.34,PC,Platinum,42:19.9
McCree,OFFENSE,4.7,47.52,1.71,10.33,PC,Platinum,42:19.9
Mercy,SUPPORT,4.43,51.34,2.41,2.07,PC,Platinum,42:19.9
D.Va,TANK,4.03,50.86,2.22,6.53,PC,Platinum,42:19.9
Hanzo,DEFENSE,3.6,49.35,2.13,13.18,PC,Platinum,42:19.9
Roadhog,TANK,3.02,51.34,1.69,9.73,PC,Platinum,42:19.9
Ashe,OFFENSE,2.87,53.26,2.05,9.9,PC,Platinum,42:19.9
Widowmaker,DEFENSE,2.83,49.42,1.74,8.77,PC,Platinum,42:19.9
Reaper,OFFENSE,2.76,52.68,1.86,15.81,PC,Platinum,42:19.9
Winston,TANK,2.58,48.32,1.83,5.88,PC,Platinum,42:19.9
Wrecking Ball,TANK,2.36,52.08,2.04,2.93,PC,Platinum,42:19.9
Brigitte,SUPPORT,1.79,54.39,1.92,12.39,PC,Platinum,42:19.9
Tracer,OFFENSE,1.63,46.88,1.55,6.95,PC,Platinum,42:19.9
Pharah,OFFENSE,1.51,52.2,1.7,12.68,PC,Platinum,42:19.9
Soldier: 76,OFFENSE,1.42,51.26,1.77,9.75,PC,Platinum,42:19.9
Junkrat,DEFENSE,1.42,52.93,2.49,10.15,PC,Platinum,42:19.9
Orisa,TANK,1.41,54.89,1.85,8.36,PC,Platinum,42:19.9
Sombra,OFFENSE,1.26,48.08,2.03,14.31,PC,Platinum,42:19.9
Mei,DEFENSE,1.01,52.95,2.1,8.9,PC,Platinum,42:19.9
Doomfist,OFFENSE,0.97,53.43,1.62,7.41,PC,Platinum,42:19.9
Torbjorn,DEFENSE,0.87,59.33,2.81,9.02,PC,Platinum,42:19.9
Symmetra,SUPPORT,0.78,57.76,2.4,7.71,PC,Platinum,42:19.9
Bastion,DEFENSE,0.36,52.91,2.35,16.4,PC,Platinum,42:19.9
Ana,SUPPORT,12.71,51.86,2.11,10.96,PC,Diamond,42:19.9
Reinhardt,TANK,11.04,52.65,2.32,7.26,PC,Diamond,42:19.9
Zarya,TANK,8.3,52.45,2.1,11.02,PC,Diamond,42:19.9
Lucio,SUPPORT,6.8,51.83,2.02,10.63,PC,Diamond,42:19.9
Zenyatta,SUPPORT,6.38,53.96,1.88,6.43,PC,Diamond,42:19.9
Genji,OFFENSE,5.75,52.43,1.64,11.41,PC,Diamond,42:19.9
McCree,OFFENSE,4.66,49.18,1.65,10.18,PC,Diamond,42:19.9
Widowmaker,DEFENSE,3.69,51.39,1.63,9.22,PC,Diamond,42:19.9
Hanzo,DEFENSE,3.69,51.61,1.83,13.51,PC,Diamond,42:19.9
Moira,SUPPORT,3.64,53.94,1.94,10.14,PC,Diamond,42:19.9
D.Va,TANK,3.51,51.04,1.8,5.57,PC,Diamond,42:19.9
Winston,TANK,3.43,50.4,1.88,5.83,PC,Diamond,42:19.9
Mercy,SUPPORT,3.13,53.74,2.23,2.47,PC,Diamond,42:19.9
Ashe,OFFENSE,2.88,55.42,1.66,10.17,PC,Diamond,42:19.9
Wrecking Ball,TANK,2.82,54.01,1.65,2.91,PC,Diamond,42:19.9
Roadhog,TANK,2.73,53.11,1.53,9.38,PC,Diamond,42:19.9
Tracer,OFFENSE,2.41,50.76,1.78,7.11,PC,Diamond,42:19.9
Brigitte,SUPPORT,1.51,55.49,1.79,11.6,PC,Diamond,42:19.9
Sombra,OFFENSE,1.5,51.65,1.93,14.76,PC,Diamond,42:19.9
Soldier: 76,OFFENSE,1.43,54.69,1.8,9.82,PC,Diamond,42:19.9
Reaper,OFFENSE,1.39,52.86,1.73,13.96,PC,Diamond,42:19.9
Orisa,TANK,1.27,57.46,1.71,8.09,PC,Diamond,42:19.9
Doomfist,OFFENSE,1.15,54.67,1.49,7.22,PC,Diamond,42:19.9
Pharah,OFFENSE,0.96,51.24,1.2,12.15,PC,Diamond,42:19.9
Mei,DEFENSE,0.91,57.28,2.68,7.78,PC,Diamond,42:19.9
Torbjorn,DEFENSE,0.79,57.93,2.53,8.1,PC,Diamond,42:19.9
Junkrat,DEFENSE,0.72,54.14,2.06,8.64,PC,Diamond,42:19.9
Symmetra,SUPPORT,0.56,56.63,2.39,6.36,PC,Diamond,42:19.9
Bastion,DEFENSE,0.24,49.16,1.52,15.46,PC,Diamond,42:19.9
Ana,SUPPORT,13.92,51.62,1.83,11.17,PC,Master,42:19.9
Reinhardt,TANK,10.01,51.66,1.96,7.11,PC,Master,42:19.9
Lucio,SUPPORT,9.62,50.48,2.05,11.08,PC,Master,42:19.9
Zarya,TANK,8.17,51.88,1.61,11.99,PC,Master,42:19.9
Zenyatta,SUPPORT,6.67,54.48,1.99,6.32,PC,Master,42:19.9
Genji,OFFENSE,5.06,52.49,1.26,10.66,PC,Master,42:19.9
Winston,TANK,4.84,49.92,2.08,5.68,PC,Master,42:19.9
D.Va,TANK,4.47,50.02,2.11,4.92,PC,Master,42:19.9
Widowmaker,DEFENSE,4.01,53.15,1.61,8.38,PC,Master,42:19.9
McCree,OFFENSE,3.56,49.4,1.56,9.44,PC,Master,42:19.9
Hanzo,DEFENSE,3.54,50.3,1.62,12.65,PC,Master,42:19.9
Wrecking Ball,TANK,3.18,52.91,1.61,2.98,PC,Master,42:19.9
Tracer,OFFENSE,2.68,50.94,1.81,6.94,PC,Master,42:19.9
Mercy,SUPPORT,2.67,53.26,1.82,2.63,PC,Master,42:19.9
Ashe,OFFENSE,2.24,56.36,1.74,10.21,PC,Master,42:19.9
Roadhog,TANK,2.04,53.53,1.38,9.63,PC,Master,42:19.9
Brigitte,SUPPORT,1.89,48.81,1.73,11.31,PC,Master,42:19.9
Sombra,OFFENSE,1.89,50.36,1.59,14.77,PC,Master,42:19.9
Moira,SUPPORT,1.78,52.92,1.49,10.04,PC,Master,42:19.9
Orisa,TANK,1.32,53.85,1.14,8.04,PC,Master,42:19.9
Doomfist,OFFENSE,1.3,57.23,2.04,6.72,PC,Master,42:19.9
Soldier: 76,OFFENSE,1.28,53.7,2.21,9.31,PC,Master,42:19.9
Torbjorn,DEFENSE,0.87,57.64,1.93,7.21,PC,Master,42:19.9
Mei,DEFENSE,0.71,49.68,2.1,6.17,PC,Master,42:19.9
Reaper,OFFENSE,0.69,54.98,1.15,13.45,PC,Master,42:19.9
Symmetra,SUPPORT,0.53,55.84,2.15,5.53,PC,Master,42:19.9
Pharah,OFFENSE,0.51,51.23,1.39,9.92,PC,Master,42:19.9
Junkrat,DEFENSE,0.36,53.71,1.94,6.41,PC,Master,42:19.9
Bastion,DEFENSE,0.17,49.73,1.58,13.96,PC,Master,42:19.9
Lucio,SUPPORT,11.62,53.58,2.38,12.83,PC,Grandmaster,42:19.9
Ana,SUPPORT,10.07,53.18,1.77,12.48,PC,Grandmaster,42:19.9
Reinhardt,TANK,8.85,53.3,1.85,9.35,PC,Grandmaster,42:19.9
Zarya,TANK,8.36,53.56,1.94,15.5,PC,Grandmaster,42:19.9
Zenyatta,SUPPORT,7.25,53.56,2.35,9.79,PC,Grandmaster,42:19.9
D.Va,TANK,6.54,50.01,2.5,5.44,PC,Grandmaster,42:19.9
Winston,TANK,5.24,53.23,2.22,5.69,PC,Grandmaster,42:19.9
Widowmaker,DEFENSE,4.15,52.53,1.18,9.31,PC,Grandmaster,42:19.9
Brigitte,SUPPORT,3.75,53.14,2.52,14.52,PC,Grandmaster,42:19.9
Wrecking Ball,TANK,3.67,53.66,1.89,3.18,PC,Grandmaster,42:19.9
Hanzo,DEFENSE,3.4,52.42,1.54,13.14,PC,Grandmaster,42:19.9
Tracer,OFFENSE,3.05,53.48,1.44,8.27,PC,Grandmaster,42:19.9
Genji,OFFENSE,3,54.64,2.08,11.88,PC,Grandmaster,42:19.9
Mercy,SUPPORT,2.91,56.64,2.09,1.83,PC,Grandmaster,42:19.9
McCree,OFFENSE,2.41,50,0.98,9.75,PC,Grandmaster,42:19.9
Sombra,OFFENSE,2.38,50.91,3.04,14.74,PC,Grandmaster,42:19.9
Roadhog,TANK,2.03,55.28,0.91,10.09,PC,Grandmaster,42:19.9
Ashe,OFFENSE,1.78,57.28,1.8,11.19,PC,Grandmaster,42:19.9
Orisa,TANK,1.75,56.55,2.4,9.01,PC,Grandmaster,42:19.9
Soldier: 76,OFFENSE,1.48,59.21,2.17,11.41,PC,Grandmaster,42:19.9
Doomfist,OFFENSE,1.23,60.48,2.47,8.06,PC,Grandmaster,42:19.9
Torbjorn,DEFENSE,1.15,58.15,2.34,7.86,PC,Grandmaster,42:19.9
